direction,is_congested,weather,temp,rain_mm,humidity,visibility,day_of_week,is_holiday,is_rush_hour,adverse_weather_score,rush_weather_interaction
0,0,2,27.0,0.0,88.83,10000.0,2,0,0,0,0
1,0,2,27.0,0.0,88.83,10000.0,2,0,0,0,0
0,0,1,27.0,0.0,88.83,10000.0,2,0,1,0,0
1,1,1,27.0,0.0,88.83,10000.0,2,0,1,0,0
0,1,1,27.0,0.0,88.83,10000.0,2,0,1,0,0
1,1,1,27.0,0.0,88.83,10000.0,2,0,1,0,0
0,0,0,31.0,0.0,70.47,10000.0,2,0,0,0,0
1,0,0,31.0,0.0,70.47,10000.0,2,0,0,0,0
0,0,1,33.0,0.0,66.77,10000.0,2,0,0,0,0
1,0,1,33.0,0.0,66.77,10000.0,2,0,0,0,0
0,0,1,35.9,0.0,47.22,10000.0,2,0,0,0,0
1,0,1,35.9,0.0,47.22,10000.0,2,0,0,0,0
0,0,2,35.0,0.0,53.0,10000.0,2,0,1,0,0
1,0,2,35.0,0.0,53.0,10000.0,2,0,1,0,0
0,1,2,35.9,0.0,50.15,10000.0,2,0,1,0,0
1,1,2,35.9,0.0,50.15,10000.0,2,0,1,0,0
0,0,2,31.0,0.0,79.32,10000.0,2,0,0,0,0
1,0,2,31.0,0.0,79.32,10000.0,2,0,0,0,0
0,0,2,29.0,0.0,88.99,10000.0,2,0,0,0,0
1,0,2,29.0,0.0,88.99,10000.0,2,0,0,0,0
0,0,2,25.0,0.0,100.0,6000.0,1,0,0,0,0
1,0,2,25.0,0.0,100.0,6000.0,1,0,0,0,0
0,0,2,26.0,0.0,94.23,5000.0,1,0,1,0,0
1,1,2,26.0,0.0,94.23,5000.0,1,0,1,0,0
0,1,2,26.0,0.0,94.23,5000.0,1,0,1,0,0
1,1,2,26.0,0.0,94.23,5000.0,1,0,1,0,0
0,0,2,30.0,0.0,70.28,10000.0,1,0,0,0,0
1,0,2,30.0,0.0,70.28,10000.0,1,0,0,0,0
0,0,2,31.0,0.0,66.37,10000.0,1,0,0,0,0
1,0,2,31.0,0.0,66.37,10000.0,1,0,0,0,0
0,0,2,33.0,0.1,62.92,10000.0,1,0,0,1,0
1,0,2,33.0,0.1,62.92,10000.0,1,0,0,1,0
0,1,2,34.0,0.0,59.49,10000.0,1,0,1,0,0
1,0,2,34.0,0.0,59.49,10000.0,1,0,1,0,0
0,1,2,33.0,0.0,62.92,10000.0,1,0,1,0,0
1,0,2,33.0,0.0,62.92,10000.0,1,0,1,0,0
0,0,1,29.0,0.0,79.05,10000.0,1,0,0,0,0
1,0,1,29.0,0.0,79.05,10000.0,1,0,0,0,0
0,0,2,28.0,0.0,83.78,10000.0,1,0,0,0,0
1,0,2,28.0,0.0,83.78,10000.0,1,0,0,0,0
0,0,2,24.0,0.0,94.15,7000.0,0,0,0,0,0
1,0,2,24.0,0.0,94.15,7000.0,0,0,0,0,0
0,1,2,25.0,0.0,88.68,5000.0,0,0,1,0,0
1,1,2,25.0,0.0,88.68,5000.0,0,0,1,0,0
0,1,2,25.0,0.0,88.68,5000.0,0,0,1,0,0
1,1,2,25.0,0.0,88.68,5000.0,0,0,1,0,0
0,0,2,28.0,0.1,78.91,6000.0,0,0,0,1,0
1,0,2,28.0,0.1,78.91,6000.0,0,0,0,1,0
